ticker,subset,n,class_-1,class_0,class_1,note
PETR4.SA,all,2066,0.5164569215876089,0.11955469506292353,0.3639883833494676,
PETR4.SA,2024-01-01:2025-01-01,251,0.4940239043824701,0.18725099601593626,0.3187250996015936,
PETR4.SA,2024Q1,61,0.5573770491803278,0.13114754098360656,0.3114754098360656,
PETR4.SA,2024Q2,63,0.3968253968253968,0.12698412698412698,0.47619047619047616,
PETR4.SA,2024Q3,66,0.5757575757575758,0.19696969696969696,0.22727272727272727,
PETR4.SA,2024Q4,61,0.4426229508196721,0.29508196721311475,0.26229508196721313,
VALE3.SA,all,2062,0.7036857419980601,0.027643064985451018,0.26867119301648884,
VALE3.SA,2024-01-01:2025-01-01,251,0.7888446215139442,0.08764940239043825,0.12350597609561753,
VALE3.SA,2024Q1,61,0.9016393442622951,0.0,0.09836065573770492,
VALE3.SA,2024Q2,63,0.6190476190476191,0.19047619047619047,0.19047619047619047,
VALE3.SA,2024Q3,66,0.8181818181818182,0.045454545454545456,0.13636363636363635,
VALE3.SA,2024Q4,61,0.819672131147541,0.11475409836065574,0.06557377049180328,
BBDC4.SA,all,2059,0.5157843613404566,0.0947061680427392,0.3895094706168043,
BBDC4.SA,2024-01-01:2025-01-01,251,0.4541832669322709,0.30677290836653387,0.23904382470119523,
BBDC4.SA,2024Q1,61,0.39344262295081966,0.2459016393442623,0.36065573770491804,
BBDC4.SA,2024Q2,63,0.5079365079365079,0.3968253968253968,0.09523809523809523,
BBDC4.SA,2024Q3,66,0.25757575757575757,0.3181818181818182,0.42424242424242425,
BBDC4.SA,2024Q4,61,0.6721311475409836,0.26229508196721313,0.06557377049180328,
ITUB4.SA,all,2054,0.6222005842259006,0.17283349561830574,0.20496592015579357,
ITUB4.SA,2024-01-01:2025-01-01,251,0.5697211155378487,0.3705179282868526,0.05976095617529881,
ITUB4.SA,2024Q1,61,0.5245901639344263,0.36065573770491804,0.11475409836065574,
ITUB4.SA,2024Q2,63,0.4444444444444444,0.5396825396825397,0.015873015873015872,
ITUB4.SA,2024Q3,66,0.5606060606060606,0.3333333333333333,0.10606060606060606,
ITUB4.SA,2024Q4,61,0.7540983606557377,0.2459016393442623,0.0,
BBAS3.SA,all,2062,0.6086323957322988,0.036372453928225024,0.35499515033947626,
BBAS3.SA,2024-01-01:2025-01-01,251,0.6254980079681275,0.15139442231075698,0.22310756972111553,
BBAS3.SA,2024Q1,61,0.4918032786885246,0.19672131147540983,0.3114754098360656,
BBAS3.SA,2024Q2,63,0.6031746031746031,0.20634920634920634,0.19047619047619047,
BBAS3.SA,2024Q3,66,0.6666666666666666,0.06060606060606061,0.2727272727272727,
BBAS3.SA,2024Q4,61,0.7377049180327869,0.14754098360655737,0.11475409836065574,
B3SA3.SA,all,2059,0.5526954832442933,0.03933948518698397,0.40796503156872266,
B3SA3.SA,2024-01-01:2025-01-01,251,0.7290836653386454,0.0796812749003984,0.19123505976095617,
B3SA3.SA,2024Q1,61,0.819672131147541,0.04918032786885246,0.13114754098360656,
B3SA3.SA,2024Q2,63,0.7936507936507936,0.047619047619047616,0.15873015873015872,
B3SA3.SA,2024Q3,66,0.6666666666666666,0.07575757575757576,0.25757575757575757,
B3SA3.SA,2024Q4,61,0.639344262295082,0.14754098360655737,0.21311475409836064,
ABEV3.SA,all,2054,0.6416747809152873,0.18354430379746836,0.1747809152872444,
ABEV3.SA,2024-01-01:2025-01-01,251,0.6215139442231076,0.24701195219123506,0.13147410358565736,
ABEV3.SA,2024Q1,61,0.9672131147540983,0.03278688524590164,0.0,
ABEV3.SA,2024Q2,63,0.6190476190476191,0.38095238095238093,0.0,
ABEV3.SA,2024Q3,66,0.19696969696969696,0.48484848484848486,0.3181818181818182,
ABEV3.SA,2024Q4,61,0.7377049180327869,0.06557377049180328,0.19672131147540983,
VIVT3.SA,all,2064,0.40455426356589147,0.4307170542635659,0.16472868217054262,
VIVT3.SA,2024-01-01:2025-01-01,251,0.3745019920318725,0.5099601593625498,0.11553784860557768,
VIVT3.SA,2024Q1,61,0.32786885245901637,0.5573770491803278,0.11475409836065574,
VIVT3.SA,2024Q2,63,0.36507936507936506,0.5396825396825397,0.09523809523809523,
VIVT3.SA,2024Q3,66,0.16666666666666666,0.6515151515151515,0.18181818181818182,
VIVT3.SA,2024Q4,61,0.6557377049180327,0.2786885245901639,0.06557377049180328,
